	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	sa35	sa36	sa37	sa38	sa39	sa40	sa41	sa42	sa43	sa44	sa45	sa46	sa47	sa48	sa49	sa50	sa51
ASV_1	3307	3709	1082	0	0	0	2471	1600	7	2617	1436	3134	0	28	0	2192	2269	2321	0	0	0	3431	1846	658	2751	165	1715	48	50	0	2115	2149	2961	1776	1935	1424	0	0	0	2708	2737	2378	2019	2369	0	24	0	2050	2085	2917	462
ASV_2	1492	1052	505	52	57	31	1721	1551	0	811	956	850	34	56	111	2514	2228	1786	232	189	0	2444	1571	1098	1088	133	1511	71	59	20	3980	1809	1746	1384	484	807	34	13	21	2230	1851	1502	1191	1214	0	58	41	2819	1936	3421	101
ASV_3	2146	4012	523	1419	1470	2221	1504	1231	0	896	707	661	3514	2755	2786	807	641	746	1378	1375	1935	415	223	254	702	438	302	772	999	375	365	179	213	50	217	207	366	271	222	90	104	112	853	1250	651	535	1304	637	617	752	471
ASV_4	1084	824	218	134	221	143	2583	2358	0	602	359	272	99	114	115	526	443	417	247	322	65	2940	1587	1521	1858	791	1321	766	442	341	1002	1768	719	121	51	0	64	80	112	295	435	201	1775	2236	0	105	183	2022	1610	1925	694
ASV_5	884	769	263	18	24	24	721	599	0	268	208	324	33	24	21	570	557	465	14	11	8	576	553	128	1662	1255	775	346	233	159	4126	740	2599	1340	3220	2639	50	57	70	2002	1870	2149	712	598	32	32	32	838	925	1239	7
ASV_6	1615	1563	343	0	17	12	911	1076	0	918	1881	690	15	15	18	1090	1116	1197	0	24	0	1113	628	641	1022	249	571	0	41	17	3120	604	1677	845	713	1715	6	3	8	1675	1229	1154	481	795	0	0	0	792	676	938	164
ASV_7	1012	1120	283	40	67	115	1445	1100	6	432	570	401	91	87	96	1775	1903	1858	48	86	38	2498	2198	549	523	280	343	71	39	47	331	119	346	603	1255	1585	28	41	53	1755	1498	1203	427	912	35	57	65	1104	798	1205	341
ASV_8	598	672	201	0	0	0	912	1423	0	572	717	573	0	0	0	1072	1159	1103	0	0	0	1636	1075	1791	708	70	301	0	0	0	2070	856	1222	501	487	920	0	0	0	1610	1078	905	386	567	0	0	0	937	1015	1343	463
ASV_9	1580	804	590	0	11	5	1084	1051	0	339	279	678	0	8	14	1250	1210	880	19	11	0	864	454	679	300	34	322	24	0	0	1013	532	646	558	352	490	0	0	0	1230	745	647	878	704	0	0	0	1066	1114	1613	867
ASV_10	649	766	156	43	37	92	409	369	9	283	364	285	68	76	53	522	457	502	92	88	44	881	905	165	1024	1036	424	215	170	133	1451	292	949	626	2164	1749	31	86	108	914	893	943	324	534	41	53	59	473	453	511	194
ASV_11	939	783	249	264	320	298	1031	838	0	1011	602	562	226	298	287	973	723	743	488	771	152	822	429	1248	545	278	372	184	383	181	382	521	391	56	97	112	82	58	68	91	109	56	593	896	136	156	215	580	516	760	1245
ASV_12	731	303	256	0	3	0	792	614	0	520	225	538	0	9	10	1068	902	877	8	10	0	703	498	340	408	28	452	16	3	0	526	613	437	598	188	234	0	0	0	754	667	364	1159	1139	0	0	0	1006	1001	1284	390
ASV_13	740	435	322	0	0	0	526	559	0	302	479	313	0	0	0	583	524	482	0	0	0	407	214	260	448	72	345	19	0	0	2389	602	937	770	369	529	0	0	0	645	503	426	1001	1197	0	0	0	500	556	788	441
ASV_14	1090	611	469	0	8	0	726	598	0	353	267	528	0	10	0	777	724	491	12	7	0	443	295	299	319	61	320	28	6	0	857	242	413	755	518	451	0	0	0	556	527	405	919	622	0	0	0	720	674	1036	859
